Player #,# Rounds,# Vertices,# Players,Edge Density,Algorithm,Ranking,Score,# Controlled Vertices
2,2,104,2,0.2053482161722645,uncontrolled max,2,133.01567398119116,42
1,4,197,6,0.227628355037246,uncontrolled max,2,117.34657039711192,37
2,4,197,6,0.227628355037246,uncontrolled max,4,100.92781690140849,32
3,4,197,6,0.227628355037246,neighbors,1,166.85792349726773,52
4,4,197,6,0.227628355037246,uncontrolled max,3,114.59245960502695,35
5,4,197,6,0.227628355037246,max,5,82.73999999999998,26
6,4,197,6,0.227628355037246,max,6,47.279999999999994,15
1,2,248,5,0.40488171125664796,max,4,125.89181692094314,37
2,2,248,5,0.40488171125664796,neighbors,1,197.53099730458212,71
3,2,248,5,0.40488171125664796,random,5,118.3402489626556,42
4,2,248,5,0.40488171125664796,max,2,163.65991902834003,51
5,2,248,5,0.40488171125664796,max,3,150.79731543624163,47
1,3,239,3,0.4289681614112273,random,3,136.72052401746726,47
2,3,239,3,0.4289681614112273,neighbors,2,228.82978723404264,75
3,3,239,3,0.4289681614112273,greedy,1,346.48324022346367,117
1,3,145,3,0.03125035689449207,uncontrolled max,3,48.452970297029715,16
2,3,145,3,0.03125035689449207,uncontrolled max,1,188.19148936170208,65
3,3,145,3,0.03125035689449207,random,2,154.55294117647057,48
1,4,66,2,0.05998459591154659,greedy,1,101.15217391304347,37
2,4,66,2,0.05998459591154659,neighbors,2,68.21052631578948,20
1,3,218,3,0.29605839919223137,random,3,160.48510638297876,52
2,3,218,3,0.29605839919223137,random,2,208.59476117103233,68
3,3,218,3,0.29605839919223137,uncontrolled max,1,290.0,98
1,5,105,4,0.23542375902781243,max,3,73.63636363636364,23
2,5,105,4,0.23542375902781243,max,2,93.1132075471698,25
3,5,105,4,0.23542375902781243,neighbors,1,111.77419354838709,35
4,5,105,4,0.23542375902781243,random,4,62.79742765273313,22
1,3,205,3,0.15729351432350075,neighbors,1,315.3310696095074,102
2,3,205,3,0.15729351432350075,max,2,173.9802631578947,52
3,3,205,3,0.15729351432350075,uncontrolled max,3,154.2642140468228,51
1,3,143,3,0.244840566488443,max,2,123.39775280898878,42
2,3,143,3,0.244840566488443,max,3,109.1799485861182,34
3,3,143,3,0.244840566488443,random,1,204.77326968973745,67
1,2,173,4,0.46866722103130687,random,4,67.16470588235292,27
2,2,173,4,0.46866722103130687,random,2,115.54730983302417,37
3,2,173,4,0.46866722103130687,uncontrolled max,3,109.46892655367226,38
4,2,173,4,0.46866722103130687,greedy,1,213.92473118279588,71
1,5,60,3,0.08743808666105557,greedy,2,60.00000000000001,17
2,5,60,3,0.08743808666105557,greedy,3,53.00613496932516,17
3,5,60,3,0.08743808666105557,greedy,1,64.8730964467005,20
1,3,121,4,0.4410042820668065,max,3,77.3763157894737,23
2,3,121,4,0.4410042820668065,neighbors,2,95.14529914529915,34
3,3,121,4,0.4410042820668065,max,4,67.44262295081965,25
4,3,121,4,0.4410042820668065,neighbors,1,116.79130434782606,39
1,4,70,2,0.10008753447706725,greedy,1,160.78125,52
2,4,70,2,0.10008753447706725,uncontrolled max,2,53.50961538461537,16
1,2,124,3,0.37819905868868914,greedy,1,171.15957446808497,58
2,2,124,3,0.37819905868868914,uncontrolled max,2,113.96531791907509,39
3,2,124,3,0.37819905868868914,max,3,84.15424164524417,27
1,3,121,5,0.4166454738352531,neighbors,4,43.93659942363112,14
2,3,121,5,0.4166454738352531,uncontrolled max,5,43.16756756756756,13
3,3,121,5,0.4166454738352531,greedy,1,125.45609065155811,41
4,3,121,5,0.4166454738352531,greedy,2,106.26683937823834,35
5,3,121,5,0.4166454738352531,neighbors,3,49.963483146067404,18
1,5,164,4,0.43527098789750923,uncontrolled max,2,129.20168067226894,38
2,5,164,4,0.43527098789750923,greedy,1,193.2145748987856,60
3,5,164,4,0.43527098789750923,max,3,127.24137931034478,36
4,5,164,4,0.43527098789750923,uncontrolled max,4,98.19108280254778,30
1,5,161,5,0.03746102445398947,random,5,34.57263157894737,10
2,5,161,5,0.03746102445398947,max,4,61.02141327623127,19
3,5,161,5,0.03746102445398947,random,3,72.34810126582279,28
4,5,161,5,0.03746102445398947,greedy,2,108.62650602409643,36
5,5,161,5,0.03746102445398947,greedy,1,181.5858778625954,59
1,5,123,5,0.483644530152875,greedy,4,70.38147138964578,21
2,5,123,5,0.483644530152875,random,5,57.972568578553606,18
3,5,123,5,0.483644530152875,neighbors,3,72.74571428571429,24
4,5,123,5,0.483644530152875,greedy,1,116.88219895287953,36
5,5,123,5,0.483644530152875,uncontrolled max,2,83.52722063037253,24
1,4,156,6,0.08125180526516823,uncontrolled max,5,72.8,22
2,4,156,6,0.08125180526516823,neighbors,3,99.01796407185628,28
3,4,156,6,0.08125180526516823,random,6,69.1006711409396,22
4,4,156,6,0.08125180526516823,greedy,1,103.76940133037692,32
5,4,156,6,0.08125180526516823,max,4,75.45306122448982,22
6,4,156,6,0.08125180526516823,greedy,2,102.0377358490566,30
1,3,200,2,0.18927831559642722,max,2,184.4660194174756,64
2,3,200,2,0.18927831559642722,neighbors,1,411.7073170731703,136
1,2,115,5,0.15550759806118075,greedy,2,75.40419161676647,24
2,2,115,5,0.15550759806118075,uncontrolled max,3,71.30699088145897,24
3,2,115,5,0.15550759806118075,greedy,1,104.5750708215297,35
4,2,115,5,0.15550759806118075,random,4,60.75471698113209,19
5,2,115,5,0.15550759806118075,max,5,46.0,13
1,5,70,6,0.2888824836490533,random,6,23.135593220338986,8
2,5,70,6,0.2888824836490533,greedy,2,46.32352941176471,14
3,5,70,6,0.2888824836490533,random,4,35.1776649746193,14
4,5,70,6,0.2888824836490533,random,3,35.507246376811594,11
5,5,70,6,0.2888824836490533,greedy,1,57.70270270270271,16
6,5,70,6,0.2888824836490533,max,5,27.03862660944206,7
1,2,70,2,0.4647173118062164,uncontrolled max,1,128.0,42
2,2,70,2,0.4647173118062164,random,2,82.31155778894473,28
1,5,126,5,0.3068517890168999,uncontrolled max,4,79.16230366492148,24
2,5,126,5,0.3068517890168999,uncontrolled max,3,84.45776566757493,23
3,5,126,5,0.3068517890168999,random,2,86.60377358490568,27
4,5,126,5,0.3068517890168999,uncontrolled max,1,92.07692307692305,28
5,5,126,5,0.3068517890168999,random,5,67.09500000000001,24
1,3,154,3,0.25949853780714743,uncontrolled max,3,120.16143497757851,41
2,3,154,3,0.25949853780714743,greedy,2,163.23340471092075,48
3,3,154,3,0.25949853780714743,greedy,1,204.0,65
1,5,133,2,0.29852899440487735,uncontrolled max,2,197.50500000000014,62
2,5,133,2,0.29852899440487735,random,1,223.18733509234832,71
1,2,142,2,0.2793957132648588,neighbors,1,266.25000000000017,87
2,2,142,2,0.2793957132648588,random,2,164.06126914660825,55
1,3,104,2,0.36970109372265686,greedy,1,191.32075471698107,63
2,3,104,2,0.36970109372265686,neighbors,2,131.92592592592587,41
1,2,105,5,0.14265896699948183,max,4,57.53869969040247,18
2,2,105,5,0.14265896699948183,max,5,26.0,7
3,2,105,5,0.14265896699948183,random,2,72.98780487804879,24
4,2,105,5,0.14265896699948183,uncontrolled max,3,61.06153846153846,19
5,2,105,5,0.14265896699948183,greedy,1,115.016447368421,37
1,4,158,4,0.3479335010127641,random,4,97.84403669724773,35
2,4,158,4,0.3479335010127641,uncontrolled max,2,128.72842105263157,39
3,4,158,4,0.3479335010127641,max,3,117.77596741344198,38
4,4,158,4,0.3479335010127641,neighbors,1,133.7986870897155,46
1,2,215,6,0.1947675966294421,uncontrolled max,2,122.51962323390893,42
2,2,215,6,0.1947675966294421,neighbors,1,173.34375,57
3,2,215,6,0.1947675966294421,uncontrolled max,5,92.56944444444449,31
4,2,215,6,0.1947675966294421,uncontrolled max,6,66.18078175895764,22
5,2,215,6,0.1947675966294421,uncontrolled max,3,107.5,31
6,2,215,6,0.1947675966294421,max,4,102.59055118110234,32
1,3,59,2,0.05490692406665054,neighbors,1,92.00495049504948,27
2,3,59,2,0.05490692406665054,random,2,53.732142857142854,20
1,2,160,2,0.44588824332698745,max,2,140.9935205183585,49
2,2,160,2,0.44588824332698745,neighbors,1,331.0,111
1,2,220,5,0.09803854467181089,max,2,166.71619613670123,60
2,2,220,5,0.09803854467181089,max,1,239.16018662519474,76
3,2,220,5,0.09803854467181089,random,4,47.567567567567565,18
4,2,220,5,0.09803854467181089,neighbors,3,152.3076923076922,53
5,2,220,5,0.09803854467181089,uncontrolled max,5,39.169139465875375,13
1,2,110,4,0.4818566641049828,uncontrolled max,4,57.824773413897276,17
2,2,110,4,0.4818566641049828,random,3,64.78527607361961,22
3,2,110,4,0.4818566641049828,max,2,75.60371517027863,25
4,2,110,4,0.4818566641049828,greedy,1,134.82857142857137,46
1,2,114,3,0.10388551969942744,greedy,3,82.20178041543025,28
2,2,114,3,0.10388551969942744,random,2,121.32402234636868,41
3,2,114,3,0.10388551969942744,neighbors,1,129.29268292682923,45
1,2,195,5,0.32936872447070464,uncontrolled max,4,112.89473684210532,35
2,2,195,5,0.32936872447070464,max,1,153.7438016528925,53
